address,city,floor,id,latitude,longitude,price,rooms,sq,year
Nowa Huta Czyżyny,Kraków,6.0,26149.0,50.0816349,20.016490706002106,498000.0,2.0,49.08,2019.0
Krowodrza,Kraków,10.0,23192.0,50.07087985,19.916563118144783,455000.0,3.0,45.0,1976.0
Jeżyce ul. św. Wawrzyńca 11,Poznań,0.0,5090.0,52.4201252,16.8956979,474128.2,3.0,62.14,2022.0
Wola Mirów Jaktorowska,Warszawa,4.0,11641.0,52.2342783,20.978731,420000.0,1.0,26.8,2017.0
Praga-Południe Gocław,Warszawa,3.0,9610.0,52.2286331,21.1065722,486540.0,2.0,44.94,2022.0
Bronowice ul. Bronowicka 5,Kraków,4.0,28296.0,50.0778251,19.900680986965753,1038636.0,3.0,88.02,2021.0
Grzegórzki ul. Fabryczna,Kraków,5.0,28954.0,50.058444,19.970235100000004,533455.0,1.0,36.79,2021.0
Bieżanów-Prokocim Złocieniowa,Kraków,0.0,19457.0,50.0181408,20.0508626,382301.0,2.0,52.37,2020.0
Nowe Miasto Malta ul. Katowicka,Poznań,2.0,5745.0,52.39734489999999,16.9619394,417112.5,2.0,47.67,2022.0
Prądnik Czerwony ul. Celarowska,Kraków,2.0,20837.0,50.081864,19.9546492,349000.0,2.0,37.06,1980.0
Stare Miasto Centrum ul. Ostrów Tumski,Poznań,3.0,77.0,52.4113371,16.947621100000006,445000.0,2.0,39.06,2021.0
Nowe Miasto Malta abpa Walentego Dymka,Poznań,2.0,4250.0,52.3938613,16.9910647,461004.0,3.0,60.4,2020.0
Praga-Południe Saska Kępa,Warszawa,3.0,12598.0,52.23280325,21.054660077101246,670000.0,2.0,38.0,1938.0
Stare Miasto Starowiślna,Kraków,3.0,25004.0,50.0469432,19.99715343583669,709000.0,2.0,53.4,1926.0
Nowe Miasto Kobyle Pole ul. abp. Walentego Dymka,Poznań,3.0,3733.0,52.4006632,16.919732591780882,468300.0,3.0,66.9,2022.0
Grzegórzki Dąbie Dąbska,Kraków,0.0,20454.0,50.064613,19.9820189,730000.0,3.0,73.81,2013.0
Podgórze Okólna,Kraków,4.0,21240.0,50.01641420000001,19.9837781,439000.0,3.0,48.2,1980.0
Wola Mirów Srebrna,Warszawa,9.0,15326.0,52.2270648,20.9879443,519000.0,2.0,35.5,1963.0
Praga-Południe Saska Kępa Międzynarodowa,Warszawa,1.0,18213.0,52.2333644,21.0678467,515000.0,2.0,37.5,1970.0
Białołęka,Warszawa,2.0,15659.0,52.3196649,21.0211773,460000.0,3.0,65.0,2019.0
Praga-Południe Grochowska,Warszawa,4.0,7850.0,52.2497745,21.1068857,480000.0,2.0,43.9,1970.0
Wilanów ul. Adama Branickiego,Warszawa,0.0,15754.0,52.154572,21.0706211,1388000.0,3.0,110.8,2015.0
Praga-Południe,Warszawa,9.0,16147.0,52.2373961,21.0712578,699000.0,2.0,55.2,2012.0
Śródmieście ul. Grzybowska,Warszawa,6.0,17600.0,52.2357458,20.993720703559504,430000.0,2.0,28.0,1980.0
Włochy,Warszawa,4.0,11572.0,52.1861093,20.9484377,550000.0,3.0,49.0,1971.0
Jeżyce,Poznań,1.0,1203.0,52.413045,16.9022122,289000.0,2.0,37.56,1949.0
Białołęka Kąty Grodziskie,Warszawa,1.0,10910.0,52.3246245,21.0547602,393000.0,3.0,53.0,2021.0
Podgórze ul. Koszykarska,Kraków,2.0,22169.0,50.0498929,19.990602600000006,543558.0,3.0,53.0,2021.0
Praga-Południe Gocław ul. gen. Tadeusza Bora-Komorowskiego,Warszawa,1.0,6918.0,52.2319581,21.0067249,630000.0,2.0,43.89,2020.0
Nowe Miasto Rataje os. Piastowskie,Poznań,10.0,804.0,52.3958333,17.2202778,348900.0,2.0,48.4,1977.0
Nowe Miasto Komandoria,Poznań,0.0,1788.0,52.4122222,16.9694444,499000.0,2.0,60.0,2000.0
Wilda Przemysłowa,Poznań,1.0,250.0,52.392868,16.9194578,385000.0,2.0,59.1,1920.0
Bieżanów-Prokocim Złocień,Kraków,4.0,21395.0,50.02252160000001,20.0481276,290829.0,2.0,37.77,2021.0
Nowa Huta Okulickiego,Kraków,1.0,21713.0,50.087129,19.9950474,580000.0,3.0,62.0,2014.0
Mokotów,Warszawa,7.0,12413.0,52.19398740000001,21.0457809,916860.0,3.0,65.0,2018.0
Białołęka,Warszawa,2.0,11586.0,52.3196649,21.0211773,659000.0,4.0,75.3,2017.0
Stare Miasto Miodowa,Kraków,3.0,25196.0,50.05278,19.9447455,985000.0,3.0,53.0,1920.0
małopolskie,Kraków,3.0,18338.0,50.0619474,19.9368564,429000.0,2.0,46.69,2021.0
Bieżanów-Prokocim Bieżanów,Kraków,4.0,26721.0,50.0128958,20.0258584,372154.0,3.0,50.98,2021.0
Podgórze Duchackie Wola Duchacka,Kraków,5.0,22257.0,50.0146222,19.953758,546910.0,3.0,60.1,2021.0
Bronowice Stańczyka,Kraków,1.0,29033.0,50.0788285,19.8942504,302111.2,1.0,29.33,2021.0
Wilanów Sarmacka,Warszawa,1.0,6291.0,52.16565170000001,21.0767961,1250000.0,3.0,94.83,2007.0
Mistrzejowice,Kraków,1.0,27576.0,50.09742625,20.00960263225891,502374.0,4.0,66.12,2020.0
Ursynów,Warszawa,2.0,6443.0,52.141039,21.0323214,875000.0,3.0,72.0,2001.0
Żoliborz Rydygiera,Warszawa,1.0,11601.0,52.2590164,20.9919642,518100.0,1.0,31.4,2020.0
Mokotów Sielce Aleksandra Gierymskiego,Warszawa,1.0,8348.0,52.198893700000006,21.0358363,350000.0,2.0,33.18,1980.0
Prądnik Biały Henryka Pachońskiego,Kraków,5.0,20534.0,50.0949773,19.920405494289955,418362.0,3.0,46.94,2021.0
Nowe Miasto Malta ul. Katowicka,Poznań,3.0,5820.0,52.39734489999999,16.9619394,326705.0,2.0,34.39,2022.0
Ursynów Wyczółki ul. Kłobucka,Warszawa,3.0,6270.0,52.1599734,20.990916185264226,840000.0,3.0,66.0,2018.0
Ursus,Warszawa,2.0,13586.0,52.1960985,20.8828989,799990.0,3.0,77.75,2007.0
Nowe Miasto Malta ul. Katowicka,Poznań,4.0,5079.0,52.39734489999999,16.9619394,308750.0,2.0,32.5,2022.0
Grunwald ul. Artura Grottgera,Poznań,1.0,4000.0,52.4013241,16.897269899999998,499999.0,2.0,63.0,1935.0
Prądnik Czerwony,Kraków,2.0,21409.0,50.0859419,19.96660060819073,510000.0,3.0,52.83,1980.0
Bielany,Warszawa,10.0,16061.0,52.2776126,20.9472054,539000.0,3.0,51.0,1972.0
Białołęka ul. Mikołaja Trąby,Warszawa,1.0,8399.0,52.2319581,21.0067249,401000.0,2.0,48.0,2020.0
Łagiewniki-Borek Fałęcki Zakopiańska,Kraków,1.0,28507.0,50.0230861,19.9337391,619000.0,4.0,88.3,1911.0
Dębniki Ruczaj Chmieleniec,Kraków,1.0,29709.0,50.0204807,19.8980137,529900.0,2.0,54.0,2007.0
Praga-Południe Gocław,Warszawa,9.0,16684.0,52.2286331,21.1065722,565000.0,3.0,65.0,1980.0
Jeżyce Podolany,Poznań,3.0,632.0,52.45678100000001,16.887939000000006,289000.0,2.0,29.17,2020.0
Wola,Warszawa,6.0,16651.0,52.2362379,20.9547815,1930000.0,5.0,120.0,2020.0
Prądnik Biały Józefa Chełmońskiego,Kraków,1.0,25490.0,50.0863097,19.9139884,440000.0,2.0,48.4,2008.0
Bieżanów-Prokocim,Kraków,0.0,28245.0,50.01706235,20.022991856015395,498312.0,4.0,61.52,2021.0
Wilanów Piechoty Łanowej,Warszawa,1.0,9761.0,52.1728323,21.0851058,4150000.0,6.0,257.92,2020.0
Wola Czyste,Warszawa,1.0,12591.0,52.22006270000001,20.9652859,1169000.0,4.0,69.28,2018.0
Prądnik Czerwony Reduta,Kraków,3.0,18405.0,50.1609054,19.743089127291668,680000.0,3.0,61.01,2017.0
Mistrzejowice ul. Piasta Kołodzieja,Kraków,6.0,28349.0,50.0986433,20.0132206,756284.0,4.0,87.94,2020.0
Ursynów ul. Kłobucka,Warszawa,1.0,12867.0,52.1599734,20.990916185264226,495000.0,2.0,42.9,2020.0
Stare Miasto,Kraków,4.0,22172.0,50.0590398,19.937168297928988,399000.0,1.0,24.5,1930.0
Targówek,Warszawa,9.0,11585.0,52.2751918,21.0580854,315000.0,1.0,30.5,1973.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,1.0,30171.0,50.0558029,19.9993305,305370.0,1.0,26.1,2022.0
Podgórze Duchackie Wola Duchacka Henryka Kamieńskiego,Kraków,7.0,20826.0,50.0288704,19.9568753,369000.0,2.0,38.86,2021.0
Wilda,Poznań,3.0,1124.0,52.3897748,16.917438100000002,435000.0,1.0,38.0,2020.0
Praga-Północ Ząbkowska,Warszawa,5.0,8609.0,52.2548127,21.0478273,1150000.0,3.0,79.0,2019.0
Ursus Królów Polskich,Warszawa,0.0,13657.0,52.24932145,20.993173619961663,569000.0,3.0,63.3,2005.0
Śródmieście,Warszawa,10.0,13009.0,52.2328098,21.019067,9506700.0,5.0,271.6,2021.0
Targówek Turmoncka,Warszawa,0.0,12528.0,52.2968599,21.0366559,450000.0,3.0,47.5,1973.0
Krowodrza Stara Krowodrza,Kraków,2.0,21343.0,50.0788515,19.928968,785000.0,3.0,49.41,2019.0
Grunwald ul. Budziszyńska,Poznań,0.0,1764.0,52.3932361,16.841194199999997,503690.0,3.0,60.25,2021.0
Stare Miasto Piątkowo,Poznań,4.0,372.0,52.4006632,16.919732591780882,479000.0,3.0,67.3,1980.0
Mokotów ul. Wyględowska,Warszawa,1.0,7746.0,52.1950111,20.985294600000003,1228000.0,3.0,78.6,2006.0
Nowe Miasto Malta ul. Katowicka,Poznań,1.0,5694.0,52.39734489999999,16.9619394,470160.0,2.0,58.77,2022.0
Podgórze Duchackie Walerego Sławka,Kraków,6.0,24119.0,50.0242313,19.959569,419000.0,2.0,44.26,2020.0
Mokotów Aleja Lotników,Warszawa,4.0,8499.0,52.2161447,21.00928852010869,545000.0,2.0,43.0,1975.0
Stare Miasto Naramowice,Poznań,1.0,654.0,52.44964889999999,16.9494082,199000.0,1.0,25.0,2021.0
Podgórze Płaszów,Kraków,1.0,24086.0,50.03453270000001,19.9754459,523000.0,3.0,65.38,2022.0
Bieżanów-Prokocim Republiki Korczakowskiej,Kraków,6.0,24302.0,50.0163919,20.0008638,619000.0,3.0,62.5,2014.0
Podgórze Duchackie Wola Duchacka Adama Bochenka,Kraków,0.0,27521.0,50.0127186,19.9775244,319000.0,2.0,35.41,2021.0
Prądnik Biały Górka Narodowa abp. Zygmunta Szczęsnego Felińskiego,Kraków,4.0,27631.0,50.1003474,19.968456600000003,519000.0,2.0,55.67,2014.0
Mokotów Sadyba Jana III Sobieskiego,Warszawa,4.0,8180.0,52.21741710000001,21.0354469,955241.0,4.0,82.0,2021.0
Białołęka Nowodwory,Warszawa,1.0,14817.0,52.35123,20.9444889,380000.0,2.0,38.7,2001.0
Prądnik Biały Stefana Banacha,Kraków,1.0,20790.0,50.1015333,19.9640995,528381.0,3.0,57.9,2021.0
małopolskie,Kraków,9.0,23132.0,50.0619474,19.9368564,532350.0,3.0,68.25,2018.0
Jeżyce ul. św. Wawrzyńca 11,Poznań,5.0,5042.0,52.4201252,16.8956979,905951.2,4.0,93.59,2022.0
Śródmieście,Warszawa,10.0,10155.0,52.2328098,21.019067,1650000.0,4.0,160.0,2000.0
Krowodrza Kazimierza Wielkiego,Kraków,1.0,21223.0,50.073573,19.9193678,630015.0,3.0,48.5,2020.0
Bielany ul. Josepha Conrada,Warszawa,2.0,16656.0,52.2725335,20.929669956236502,659000.0,4.0,68.7,1978.0
Nowa Huta Czyżyny ul. Sołtysowska,Kraków,3.0,22542.0,50.0605887,20.0240353,535200.0,3.0,55.75,2022.0
Nowa Huta Czyżyny,Kraków,2.0,27385.0,50.0816349,20.016490706002106,295000.0,2.0,27.0,2019.0
Mokotów ul. Białego Dębu 1,Warszawa,2.0,7769.0,52.183924,21.042562,1469300.0,4.0,91.63,2021.0
Dębniki Ruczaj dr. Jana Piltza,Kraków,4.0,20156.0,50.0076191,19.8888826,352644.0,2.0,35.27,2021.0
Jeżyce ul. św. Wawrzyńca 11,Poznań,4.0,5045.0,52.4201252,16.8956979,551561.1,3.0,68.01,2022.0
Praga-Północ,Warszawa,2.0,16301.0,52.2648843,21.0273442,380000.0,1.0,30.0,1960.0
Podgórze Walerego Sławka,Kraków,1.0,24572.0,50.0242313,19.959569,749000.0,4.0,88.73,2020.0
Włochy Stare Włochy Czereśniowa,Warszawa,2.0,16788.0,52.2319581,21.0067249,920000.0,3.0,81.0,2008.0
Stare Miasto Centrum,Poznań,3.0,1840.0,52.3601021,16.849834118146607,390000.0,1.0,40.0,2020.0
Podgórze ul. dr. Jana Piltza,Kraków,2.0,20700.0,50.0076191,19.8888826,660000.0,3.0,67.21,2021.0
Mokotów MARINA ul. Rajska,Warszawa,1.0,6310.0,52.1923474,20.9893179,1404000.0,5.0,108.36,2007.0
Stare Miasto Naramowice ul. Czarnucha,Poznań,0.0,1028.0,52.44997629999999,16.9527562,442105.2,4.0,64.92,2022.0
Dębniki Ruczaj,Kraków,1.0,22470.0,50.0230156,19.9083637,994220.0,5.0,139.0,2022.0
Grzegórzki ul. Fabryczna,Kraków,4.0,19901.0,50.058444,19.970235100000004,518665.0,1.0,35.77,2021.0
Ursynów Kłobucka,Warszawa,3.0,13985.0,52.1599734,20.990916185264226,810000.0,3.0,69.78,2015.0
Targówek,Warszawa,5.0,14311.0,52.2751918,21.0580854,480000.0,2.0,50.7,1989.0
Nowa Huta Czyżyny os. Złotej Jesieni,Kraków,2.0,20578.0,50.0921707,20.0255051,335000.0,1.0,38.0,1976.0
Wola Odolany,Warszawa,10.0,12407.0,52.2143854,20.9478636,959373.0,3.0,74.37,2021.0
Targówek Bródno Piotra Wysockiego,Warszawa,9.0,11312.0,52.2900258,21.0300729,315000.0,1.0,30.5,1974.0
Praga-Południe ul. Łukowska 31,Warszawa,7.0,11032.0,52.23792595,21.09824680975332,649000.0,3.0,71.5,1987.0
Wola ul. Marcina Kasprzaka,Warszawa,10.0,6814.0,52.227298450000006,20.953014207365527,360000.0,1.0,31.0,2021.0
Wawer Falenica,Warszawa,1.0,6642.0,52.1620483,21.2106772,629000.0,5.0,127.16,2020.0
Ochota,Warszawa,3.0,9397.0,52.212225,20.9726299,328500.0,2.0,24.0,1970.0
Grunwald Łazarz Marcina Kasprzaka,Poznań,0.0,1022.0,52.38866270000001,16.8908544,534900.0,3.0,60.99,1960.0
Mistrzejowice ul. Piasta Kołodzieja,Kraków,3.0,23342.0,50.0986433,20.0132206,409530.0,2.0,48.18,2022.0
Prądnik Biały Dobrego Pasterza,Kraków,2.0,29450.0,50.08854595,19.958419122646877,610000.0,2.0,45.0,2019.0
Ochota ul. Mątwicka,Warszawa,1.0,13436.0,52.2319581,21.0067249,1250000.0,4.0,94.4,2019.0
Nowa Huta Czyżyny Nowohucka 46,Kraków,2.0,30147.0,50.0558029,19.9993305,468966.0,3.0,49.89,2022.0
Prądnik Czerwony Marka Eminowicza,Kraków,1.0,25162.0,50.08686160000001,19.9696987,1045000.0,4.0,200.0,1984.0
Wzgórza Krzesławickie ul.Gustawa Morcinka,Kraków,1.0,26744.0,50.1047809,20.0362743,436779.0,4.0,69.33,2022.0
Bielany Młociny Lekka,Warszawa,7.0,12535.0,52.2861129,20.9272115,745000.0,2.0,48.94,2020.0
Nowe Miasto Zawady Studzienna,Poznań,3.0,1750.0,52.4205511,16.9649872,489207.0,2.0,64.15,2021.0
Bieżanów-Prokocim Bieżanów Opalowa,Kraków,0.0,19094.0,50.021354,20.0519146,275855.0,2.0,44.5,2023.0
Grzegórzki ul. Fabryczna,Kraków,4.0,28851.0,50.058444,19.970235100000004,1026066.0,3.0,83.42,2021.0
Wola ul. Józefa Bema,Warszawa,4.0,13910.0,52.2287779,20.959569831877182,849000.0,3.0,84.0,2003.0
Grunwald Górczyn Jakuba Krauthofera,Poznań,0.0,4890.0,52.386959,16.890867471542784,265900.0,1.0,35.51,2021.0
Mokotów ul. Jana III Sobieskiego,Warszawa,8.0,16426.0,52.1904607,21.0467831,393000.0,2.0,31.0,1980.0
Bielany ul. Rudzka 5,Warszawa,5.0,7636.0,52.27851165,20.9734368,676300.0,2.0,52.89,2021.0
Bronowice ul. Bronowicka,Kraków,3.0,20422.0,50.0778251,19.900680986965753,596646.0,2.0,46.98,2022.0
Wola,Warszawa,1.0,13539.0,52.2362379,20.9547815,898261.0,4.0,91.8,2021.0
Prądnik Biały Azory ul. Piotra Stachiewicza,Kraków,0.0,25603.0,50.0852974,19.9164193,315000.0,2.0,37.0,1968.0
Jeżyce Winiary ul. św. Leonarda,Poznań,0.0,2747.0,52.4333637,16.911643474999998,390522.0,2.0,42.68,2020.0
Łagiewniki-Borek Fałęcki Borek Fałęcki Żywiecka,Kraków,4.0,20893.0,50.014117,19.9179187,399000.0,3.0,45.5,2020.0
Stare Miasto Centrum,Poznań,3.0,1331.0,52.3601021,16.849834118146607,1108000.0,5.0,187.8,1904.0
Prądnik Czerwony ul. Zenona Klemensiewicza,Kraków,1.0,26936.0,50.0814925,19.950022600000004,210000.0,1.0,13.3,2021.0
Praga-Południe,Warszawa,4.0,6574.0,52.2373961,21.0712578,720000.0,3.0,69.0,1970.0
Wilanów Sarmacka,Warszawa,1.0,10078.0,52.16565170000001,21.0767961,1150000.0,3.0,93.2,2009.0
Śródmieście ul. Grzybowska,Warszawa,6.0,13327.0,52.2357458,20.993720703559504,1299000.0,2.0,71.6,2004.0
Żoliborz,Warszawa,0.0,13678.0,52.26759439999999,20.9796975,1150000.0,3.0,70.85,2016.0
Podgórze Pana Tadeusza,Kraków,0.0,22388.0,50.0495539,19.9719694,466000.0,3.0,48.8,1970.0
Dębniki Ruczaj,Kraków,1.0,27723.0,50.0230156,19.9083637,397992.0,2.0,43.26,2021.0
Jeżyce Stanisława Szczepanowskiego,Poznań,1.0,3942.0,52.4188529,16.8976818,538802.56,3.0,71.26,2021.0
Prądnik Biały Szymona Zimorowicza,Kraków,4.0,21165.0,50.0950503,19.9284425,465000.0,3.0,49.02,2020.0
Bieżanów-Prokocim Górników,Kraków,0.0,27099.0,50.021319,19.9953253,460000.0,2.0,46.3,2014.0
Nowa Huta Osiedle Urocze,Kraków,3.0,23702.0,50.0779373,20.034134100000006,350000.0,1.0,36.9,1956.0
Stare Miasto Winogrady,Poznań,0.0,124.0,52.4348647,16.9383531,455000.0,4.0,65.0,1980.0
Grzegórzki Olsza,Kraków,7.0,21886.0,50.0789773,19.9605879,330000.0,2.0,36.0,1980.0
Wilanów Miasteczo Wilanów ul. Sarmacka,Warszawa,3.0,12870.0,52.1676858,21.0753396,1550000.0,4.0,119.48,2008.0
Wola,Warszawa,1.0,13511.0,52.2362379,20.9547815,1199000.0,3.0,70.0,2013.0
Bieżanów-Prokocim ul. Mariana Domagały,Kraków,4.0,28608.0,50.0219561,20.0509824,547470.0,4.0,71.1,2021.0
Podgórze Stare Podgórze ul. Nadwiślańska,Kraków,6.0,19851.0,50.0469432,19.99715343583669,2300000.0,3.0,86.6,2016.0
Bielany al. Aleja Władysława Reymonta,Warszawa,10.0,6351.0,52.2743857,20.9376719,599000.0,3.0,56.0,1975.0
Bieżanów-Prokocim Złocień Złocieniowa,Kraków,1.0,19689.0,50.0181408,20.0508626,611000.0,3.0,64.0,2018.0
Śródmieście Śródmieście Południowe ul. Wilcza,Warszawa,4.0,11494.0,52.22519855,21.017925153884594,1159000.0,2.0,62.0,1936.0
Nowa Huta Czyżyny Sołtysowska,Kraków,5.0,25836.0,50.0605887,20.0240353,495000.0,3.0,63.28,2021.0
Dębniki gen. Antoniego Józefa Madalińskiego,Kraków,3.0,18901.0,50.0527679,19.9282413,1574937.0,2.0,63.0,2019.0
Grunwald Górczyn ul. Romana Dmowskiego,Poznań,3.0,5460.0,52.3817991,16.891638500000006,418900.0,2.0,59.79,2021.0
Bieżanów-Prokocim Bieżanów Agatowa,Kraków,4.0,20808.0,50.02252160000001,20.0481276,374344.0,2.0,51.0,2021.0
Wola Kolska 9,Warszawa,2.0,8869.0,52.2506604,20.9768777,538000.0,2.0,33.33,2019.0
Dębniki ul. Sandomierska,Kraków,3.0,19149.0,50.0517401,19.931117800000006,944760.0,3.0,78.73,2015.0
Targówek Trocka,Warszawa,2.0,14863.0,52.2753464,21.055449600000006,330000.0,1.0,36.0,1990.0
Stare Miasto Kazimierz,Kraków,1.0,19633.0,50.051855,19.9449466,1000000.0,3.0,78.7,1900.0
Mokotów Bokserska,Warszawa,5.0,13048.0,52.1696586,20.9970149,870000.0,3.0,90.0,2021.0
Wawer ul. Leśniczówka,Warszawa,0.0,8101.0,52.2319581,21.0067249,729000.0,4.0,69.51,2020.0
Centrum,Warszawa,4.0,11458.0,52.2311577,21.0100632,769000.0,2.0,46.1,1966.0
Dębniki Stare Dębniki ul. Praska,Kraków,2.0,19166.0,50.0462081,19.9106477,479000.0,2.0,51.5,1950.0
